daily_cap,entrance_fee,eco_investment_ratio,npv,final_glacier,avg_satisfaction,total_tourists_20yr,avg_annual_revenue
10247.024810706414,49.973206924682486,0.4991638142169227,1861467089.6923172,2.858560320000162e-09,0.872270655338748,7900456,126870152.83220677
13953.975378333631,0.4078172651600136,0.15093141335171986,5474328136.719061,0.0,0.011672247023809507,29333205,403347560.52461004
11271.275916379585,30.60397122507799,0.21081726275497326,3596471839.106184,0.0,0.3865086309523808,16923108,261675829.53249487
10713.043281344191,49.999241744914244,0.4896048363536142,1888207518.1941469,1.428326864792478e-09,0.8614020326962707,8005947,128389806.53768492
18132.783924230433,41.142061564697485,0.10467314612751873,2689799128.077559,0.0,0.6722749370772133,12062605,192187868.48079512
18960.989941384312,42.34924175860989,0.46641032463885185,2598993949.6522727,0.0,0.7052530757414472,11537368,183537050.42345273
18071.02126061822,37.699430304085865,0.1694643150729598,3049553634.221801,0.0,0.5733049107142857,13918897,220235887.9742183
17909.845267413322,43.692054866043485,0.4542853033376241,2469083368.5422115,0.0,0.7337390014719825,10847325,172263359.08999705
17909.845267413322,43.692054866043485,0.4542853033376241,2493019698.654079,0.0,0.7258769479005537,10968295,174434303.96941063
19430.272585657847,39.676954099317356,0.47557218552231373,2908484323.90853,0.0,0.6124057291666667,13120988,208019437.20115477
12280.071517698976,46.782435717619784,0.49728818863448604,2171182476.4745207,6.290401921854593e-14,0.8006217199342451,9356271,148956170.4167537
10901.843529948907,49.99566900959618,0.49728818863448604,1885353783.4544077,1.634078315728172e-09,0.8641749282622665,7999038,128393546.71412203
10771.356648687648,27.913204418827753,0.4956347532569677,3757812394.1885023,0.0,0.3338036458333332,17905772,274677473.66295767
19110.0824837388,32.878543458149,0.4917009001692185,3479874021.3287144,0.0,0.44413251488095234,16183759,251564738.4921512
10966.909965458413,49.99566900959618,0.49201603654182485,1878764448.3426275,1.893465645610645e-09,0.8640828895717902,7967373,127831929.11728017
10899.50840797944,49.998513517513196,0.49201603654182485,1904913878.2674184,1.024068878369933e-09,0.85882944416461,8083262,129742786.8256985
10513.375587846785,34.406364721282735,0.49999133488467434,3334659258.289912,0.0,0.4863995535714285,15416674,241062453.20458758
19665.101862473468,49.999841831480154,0.4882678337626734,1907066181.8662186,9.751864912617427e-10,0.8579821746293503,8088848,129775284.32445481
17686.61042992298,40.23383014393433,0.23902169653192767,2807266301.944954,0.0,0.6383048363095237,12615430,200076653.53073058
11134.110244106194,18.495317109700302,0.44401134527191577,4491461542.587347,0.0,0.1628957589285714,22173813,326868406.1939122
10335.064461583854,14.153658417410986,0.45215177657423655,4560535978.076916,0.0,0.1186299107142857,23015223,334887706.7505257
11030.870725664157,21.248722379390077,0.2191662391513045,4158765970.9708695,0.0,0.22357023809523807,20331566,303610667.71464574
18267.997159903214,0.7356706736804566,0.13539043592465702,5514208260.06875,0.0,0.013061681547619044,29452923,404601755.52759653
10759.053724620375,14.153658417410986,0.45215177657423655,4582732536.596572,0.0,0.1186299107142857,23146427,337012632.62906545
10789.137741200768,38.447666498255224,0.46641032463885185,3021271717.3401604,0.0,0.5957492559523809,13687555,216092938.56310558
19614.381358409828,2.400498621954218,0.19832523461283952,5372654591.483862,0.0,0.02011718749999999,28553534,396143920.3015583
17628.814228603595,25.42895943126773,0.19211706923799343,3917893481.36688,0.0,0.28369761904761903,18841062,286026476.1468066
17386.538918543603,33.1872359318953,0.190906410105962,3405036554.8635235,0.0,0.4510933035714285,15853337,247303805.61441067
18071.02126061822,31.33397745242022,0.190906410105962,3544712156.880631,0.0,0.4046208333333333,16631012,257818813.0268012
19519.071998266696,49.999841831480154,0.4882678337626734,1871207969.1353626,2.078058933470257e-09,0.8643553145103029,7928068,127062109.13331942
19217.804495529956,35.768511821623626,0.47557218552231373,3194044326.344998,0.0,0.5224427083333334,14699218,231137415.55433697
17076.060694346736,0.05716544397039547,0.15093141335171986,5540970226.647716,0.0,0.010186086309523815,29797370,409824038.5793456
18676.366267352787,49.99837045782854,0.447233630434906,1881695361.8917782,1.7781311356692509e-09,0.8642194427085754,7981597,128089372.83969334
10326.255683050038,35.68095200216137,0.4309969262798318,3168844730.133257,0.0,0.5250151041666665,14596921,229599898.73330933
18071.02126061822,34.939151024333945,0.17486973630717778,3272982156.992285,0.0,0.49312790178571425,15156575,238366969.18990466
18936.233759440194,49.99569216906959,0.49461421784007525,1883541744.48343,1.7127263327385379e-09,0.8641752956872162,7990595,128250402.52243601
18163.415664299522,32.06646604831376,0.22982759679500475,3461698367.30148,0.0,0.431880431547619,16195888,251836877.2890832
10709.20097715303,28.783338458039708,0.4991278198248564,3730906505.942439,0.0,0.3511557291666666,17695617,271944219.87822807
19519.071998266696,49.999841831480154,0.4892987986138837,1893028550.0256014,1.27898326503405e-09,0.8602699722483981,8017972,128449088.29504439
10435.811974789212,22.460993668206804,0.49661281271673147,4163223711.6478086,0.0,0.22710312499999996,20254710,303844992.0572436
19235.81881231797,49.999677277976346,0.4896048363536142,1878621539.454777,1.8980735076795383e-09,0.8642407952974199,7966872,127828151.14937755
19145.165754998794,29.300222132476353,0.44958957680821554,3676764684.4976225,0.0,0.36095483630952374,17405153,268002287.9063387
18264.69955006446,19.835907421911784,0.4545698728223326,4350660810.784308,0.0,0.19045379464285714,21343316,315925588.7057758
17909.845267413322,47.72697977421095,0.4281674107530151,2085030382.6427736,3.750363731318046e-12,0.8212521227588132,8942234,142670001.24413067
13907.08982654883,37.67873628881899,0.45420713567948834,3037960962.6043816,0.0,0.5750125744047618,13835007,218276210.43704814
12924.279167209885,4.289052736661463,0.12404277601896148,5197207618.79117,0.0,0.031078571428571407,27408240,383614160.63688797
18218.876299539723,25.50349535784151,0.17001758877387615,3909221409.569161,0.0,0.28615416666666665,18799247,285586866.186764
10985.240178371068,49.99479450630946,0.49430330010303175,1888382569.4520178,1.5274407809998699e-09,0.8627515750898211,8009170,128511525.3006095
17076.060694346736,0.4078172651600136,0.15093141335171986,5495895713.755185,0.0,0.011672247023809507,29483758,405802783.6492241
10549.595601380304,27.54792491787005,0.4956347532569677,3793024384.8340664,0.0,0.32353288690476184,18103651,277193449.65109223
11610.518412239175,16.204474828835423,0.45215177657423655,4477246153.1337595,0.0,0.14162224702380946,22343655,326937892.36622393
10716.390647919638,37.00147228205603,0.1424509596855161,3085884996.6707644,0.0,0.5579505208333333,14135615,223260440.38877687
12900.206699566692,29.587676111368644,0.2288080656015443,3623569348.344742,0.0,0.37985580357142856,17122953,263832231.79764175
15739.074268066428,42.55997735299754,0.17486973630717778,2611540729.040953,0.0,0.6975952442200695,11587316,184452873.41650084
18071.02126061822,16.69588646615921,0.20826076632565854,4463795638.2263565,0.0,0.14708139880952378,22243301,326252573.15173256
10217.239390290262,16.69588646615921,0.20785323616471504,4478498197.349191,0.0,0.14115327380952375,22333318,327825681.0664885
19009.80463508928,23.80554740908947,0.2191510956494849,4042868994.654983,0.0,0.25395104166666665,19561255,294937778.84858006
19174.098663155783,40.68698620378454,0.4547839726096726,2736950128.4038525,0.0,0.6660056547619048,12264641,194627228.00439385
17076.060694346736,0.4078172651600136,0.15093141335171986,5500210021.031377,0.0,0.011672247023809507,29503449,406018487.130837
19810.908117699455,49.99835257266032,0.4074280541219078,1901696670.02536,1.1406697093136309e-09,0.8596698302984735,8078199,129815571.66340004
10901.843529948907,49.99566900959618,0.49728818863448604,1875264499.1793919,2.0083746834290234e-09,0.8640475117137394,7965420,127985875.35339932
11030.870725664157,23.339931289932196,0.2191662391513045,4049702763.7927675,0.0,0.24606168154761898,19640341,295777969.72139156
11136.679791240334,49.73478783661123,0.233415352632237,1899469089.28996,1.0304403888598116e-09,0.8613772087668976,8073756,129572376.82881057
10759.465006679471,34.21976906159968,0.23332835127875487,3315660799.6656327,0.0,0.4814194196428571,15368064,240579719.15036273
18351.259238569786,49.99837045782854,0.4265672260477295,1883313515.3555696,1.7223092328849313e-09,0.8642194427085754,7989540,128234671.39641458
18580.113991117356,7.4518070544714625,0.22830234037210645,5041364862.838133,0.0,0.05039456845238092,26165856,370230492.2170076
17782.79692721157,34.939151024333945,0.17486973630717778,3259943103.621954,0.0,0.5002793898809523,15060459,236265470.1364534
11030.870725664157,21.248722379390077,0.46691019947821444,4185944848.60985,0.0,0.21284188988095235,20475755,305867295.3262676
11839.595501504602,7.4518070544714625,0.22830234037210645,5037798389.746159,0.0,0.05039456845238092,26145970,369940021.77420443
10666.891971847752,45.024395200433474,0.4896048363536142,2317766602.806838,0.0,0.7696484238561516,10114793,161071471.0832367
10371.169774777518,4.289052736661463,0.12389791849997227,5177978382.525262,0.0,0.028120907738095217,27388444,381442174.7101073
11074.915876509036,49.9990764002151,0.49201603654182485,1883806432.734768,1.7589898652916453e-09,0.8642309550730067,7993765,128350447.98059772
11282.305504988799,38.553464019404245,0.45275966415781244,2986469782.2673054,0.0,0.5916964285714285,13550739,214367433.4637075
19145.165754998794,27.17333345066669,0.46012319632907195,3806124905.06533,0.0,0.31933779761904757,18172426,277647951.53198427
19443.09160423965,24.604975747993233,0.42139570637434887,3962538811.985489,0.0,0.27092016369047617,19115944,289288115.71657795
10923.95343733324,49.99653813363649,0.4926833741068168,1926464219.301881,5.857452305404085e-10,0.8506555836477732,8163643,130816658.95897909
19074.7129380827,49.997846416572756,0.4623464830504937,1885636053.5325773,1.4864215040520691e-09,0.8642106997942075,7992818,128139440.10929707
16995.842058695718,9.110124329430654,0.4964307577227388,4926789059.08171,0.0,0.0732911458333333,25343178,360294500.5244915
11067.691493644203,49.565641458425226,0.23332835127875487,1929683820.2559066,4.88182729995877e-10,0.8509891463067563,8198516,131348659.14576824
19147.33580575982,16.736078572867484,0.47600222472322057,4461411887.21256,0.0,0.1475830357142857,22227741,326077177.0571265
10990.913644974384,25.196856132289124,0.4725775789635446,3931952121.29526,0.0,0.2779212053571428,18975699,288622171.97915614
18902.7855678348,49.995943034041446,0.4697451849045009,1915981187.4160829,7.581838680118834e-10,0.853368809121249,8124247,130274203.06843449
18351.259238569786,49.99857278587214,0.4265672260477295,1861051594.7855544,2.765890727912799e-09,0.8686908830485878,7894343,126701528.07965854
11753.473884547122,45.10420492247036,0.49430797786304814,2351715693.4206595,0.0,0.7595972334992958,10229764,162436958.10690734
18101.56654669687,9.02144667202825,0.11952297657643673,5062138945.30554,0.0,0.06397433035714284,26054517,370123336.2217486
18163.415664299522,49.8130808689223,0.22982759679500475,1882171293.4307644,1.4567591330892922e-09,0.8618143418426631,7979203,127791963.22828037
19090.29818057428,42.52207837612353,0.49088990539917127,2593014054.066531,0.0,0.7031702144177407,11492496,182686622.76148263
18884.269181232205,12.214501994691076,0.20051158491668808,4743423677.78531,0.0,0.09680974702380948,24095227,347224182.6407777
18605.235193672062,12.214501994691076,0.1940948901931192,4770229782.206757,0.0,0.09225811011904757,24242580,349438601.39304
11067.691493644203,49.565641458425226,0.23332835127875487,1917922730.783751,6.400077476388546e-10,0.857953169135705,8149511,130574963.00922455
18239.65332825109,19.912936326533114,0.49074061371209954,4286780829.230278,0.0,0.1923944196428571,21068576,312837665.02582747
